LAUS Code,State FIPS Code,Area FIPS Code,Selected Area and Division,Year,Month,Unemployment Rate
DV1147894000000,11,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",1990,03,2.8
MT1233100000000,12,33100,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",1990,03,6.4
DV1222744000000,12,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Met Div",1990,03,5.4
DV1233124000000,12,33124,"Miami-Miami Beach-Kendall, FL Met Div",1990,03,6.9
DV1248424000000,12,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Met Div",1990,03,6.9
MT1716980000000,17,16980,"Chicago-Naperville-Elgin, IL-IN-WI MSA",1990,03,6.1
DV1716974000000,17,16974,"Chicago-Naperville-Arlington Heights, IL Met Div",1990,03,(n)
DV1720994000000,17,20994,"Elgin, IL Met Div",1990,03,5.4
DV1823844000000,18,23844,"Gary, IN Met Div",1990,03,5.9
DV1729404000000,17,29404,"Lake County-Kenosha County, IL-WI Met Div",1990,03,3.9
MT2571650000000,25,71650,"Boston-Cambridge-Nashua, MA-NH Met NECTA",1990,03,5.2
DV2571654000000,25,71654,"Boston-Cambridge-Newton, MA NECTA Div",1990,03,4.8
DV2572104000000,25,72104,"Brockton-Bridgewater-Easton, MA NECTA Div",1990,03,7.0
DV2573104000000,25,73104,"Framingham, MA NECTA Div",1990,03,4.6
DV2573604000000,25,73604,"Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Div",1990,03,6.5
DV2574204000000,25,74204,"Lawrence-Methuen Town-Salem, MA-NH NECTA Div",1990,03,8.4
DV2574804000000,25,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Div",1990,03,6.3
DV2574854000000,25,74854,"Lynn-Saugus-Marblehead, MA NECTA Div",1990,03,5.4
DV3375404000000,33,75404,"Nashua, NH-MA NECTA Div",1990,03,4.9
DV2576524000000,25,76524,"Peabody-Salem-Beverly, MA NECTA Div",1990,03,4.9
DV2578254000000,25,78254,"Taunton-Middleborough-Norton, MA NECTA Div",1990,03,6.8
MT2619820000000,26,19820,"Detroit-Warren-Dearborn, MI MSA",1990,03,7.7
DV2619804000000,26,19804,"Detroit-Dearborn-Livonia, MI Met Div",1990,03,8.8
DV2647664000000,26,47664,"Warren-Troy-Farmington Hills, MI Met Div",1990,03,6.8
MT3635620000000,36,35620,"New York-Newark-Jersey City, NY-NJ-PA MSA",1990,03,5.0
DV3620524000000,36,20524,"Dutchess County-Putnam County, NY Met Div",1990,03,2.7
